audio_path,label
/sep28kE/test/fluent/1.wav,IH N M AY AY Z AY W UH D L UH K AO L OW V ER DH AH P L EY S
/sep28kE/test/fluent/2.wav,AH N D IH M T AY ER D
/sep28kE/test/fluent/6.wav,AH N D IH T S AO L S OW F R IY
/sep28kE/test/fluent/7.wav,S OW AY W AA N T T UW HH IY R F R AH M Y UW
/sep28kE/test/fluent/8.wav,AY M IH S T DH AH F ER S T T UW D EY Z
/sep28kE/test/fluent/9.wav,IH F Y UW D UW DH IH S
/sep28kE/test/fluent/10.wav,DH EH R AA R T UW W EY Z Y UW K AE N D UW DH IH S
/sep28kE/test/fluent/11.wav,Y UW K AE N R AH K AO R D
/sep28kE/test/fluent/12.wav,K AH M P L IY T L IY AH N D ER S T AE N D M IY
/sep28kE/test/fluent/13.wav,AH N D AY W IH L P UH T DH AE T
/sep28kE/test/fluent/14.wav,B IH K AO Z Y UW AA R N AA T AH L OW N
/sep28kE/test/fluent/15.wav,W ER AO L IH N DH IH S T AH G EH DH ER
/sep28kE/test/fluent/16.wav,IH F AY K AE N L ER N F R AH M Y UW
/sep28kE/test/fluent/17.wav,K AE N L ER N F R AH M M IY
/sep28kE/test/fluent/18.wav,AH N D DH AE T IH Z W AY W IY AA R HH IY R
/sep28kE/test/fluent/20.wav,DH EY S K EH R D DH AH D AO G AH W EY
/sep28kE/test/fluent/21.wav,Y UW AA R N AA T AH L OW N
/sep28kE/test/fluent/22.wav,HH AW AA R Y UW D UW IH NG
/sep28kE/test/fluent/24.wav,S OW DH AH K AO L T UW AE K SH AH N
/sep28kE/test/fluent/26.wav,AY HH AE V AH S T AH T ER
/sep28kE/test/fluent/27.wav,AY TH AO T AH B AW T IH T
/sep28kE/test/fluent/28.wav,L EH T M IY N OW IH F Y UW
/sep28kE/test/fluent/29.wav,S OW AE Z AO L W EY Z
/sep28kE/test/fluent/30.wav,AY W AA N T T UW HH IY R F R AH M Y UW
/sep28kE/test/fluent/31.wav,IH T S L AY K AE N AH M EH R AH K AH N HH AA L AH D EY
/sep28kE/test/fluent/32.wav,B IH K AO Z Y UW AA R N AA T AH L OW N
/sep28kE/test/fluent/33.wav,K UH D Y UW IH N T R AH D UW S Y ER S EH L F
/sep28kE/test/fluent/34.wav,DH AH IH M B EH R AH S M AH N T AH V D UW IH NG DH AE T
/sep28kE/test/fluent/35.wav,B IH K AO Z W EH N AY W EH N T T UW
/sep28kE/test/fluent/36.wav,AY W AA N T F AO R EH V R IY W AH N T UW N OW
/sep28kE/test/fluent/37.wav,AH N D IH N HH IY R
/sep28kE/test/fluent/38.wav,AE Z AY AE M P R AE K T AH S IH NG
/sep28kE/test/fluent/39.wav,DH EH R F AO R AY D IH D N AA T S T AH T ER
/sep28kE/test/fluent/40.wav,AH V M AY B AA D IY L AE NG G W AH JH
/sep28kE/test/fluent/41.wav,AH N D G AY D AH D M IY TH R UW DH AE T R AH F P AA R T AH V M AY HH AY S K UW L L AY F
/sep28kE/test/fluent/42.wav,W AH T Y UW D UW T UW K IY P Y ER S EH L F B IH Z IY
/sep28kE/test/fluent/43.wav,AH N D S OW AY
/sep28kE/test/fluent/44.wav,W EH N AY HH AE V T UW D UW IH T
/sep28kE/test/fluent/45.wav,D UW Y UW HH AE V EH N IY
/sep28kE/test/fluent/46.wav,N AW AY D UW HH AE V M AY G UH D D EY Z
/sep28kE/test/fluent/47.wav,HH AE Z HH EH L P T M IY
/sep28kE/test/fluent/48.wav,AY B IH G AE N T UW R AH N
/sep28kE/test/fluent/49.wav,AH N D W AH N T AY M
/sep28kE/test/fluent/50.wav,N AH TH IH NG N EH V ER HH AE P AH N D
/sep28kE/test/fluent/52.wav,AH N D W EH N AY G AA T AW T AY W EH N T T UW S K UW L
/sep28kE/test/fluent/53.wav,T UW G EH T S T AA R T IH D
/sep28kE/test/fluent/55.wav,SH IY AE S K S HH IH M
/sep28kE/test/fluent/56.wav,F AO R DH AH F ER S T T AY M
/sep28kE/test/fluent/57.wav,IH N M AY L AY F AY W UH D L AH V
/sep28kE/test/fluent/58.wav,AY W UH D L AH V T UW HH AE V AH D EY
/sep28kE/test/fluent/59.wav,AH N D JH AH S T EH N JH OY AH S IH M P AH L K AA N V ER S EY SH AH N
/sep28kE/test/fluent/60.wav,DH EH R TH AO T S AH B AW T DH EH R OW N S P IY CH
/sep28kE/test/fluent/61.wav,AH N D S OW AY W UH D AO L W EY Z
/sep28kE/test/fluent/62.wav,AH N D K AH M Y UW N AH K EY SH AH N S K IH L Z
/sep28kE/test/fluent/63.wav,K AH M P EH R IH NG M AY S EH L F T UW AH DH ER P IY P AH L
/sep28kE/test/fluent/64.wav,N AW AY K AE N S EY
/sep28kE/test/fluent/65.wav,AY IH K S P IH R IY AH N S T AH G R EY T D IY L AH V
/sep28kE/test/fluent/66.wav,AH N D DH EY JH AH S T T UH K M IY S AH M T AY M
/sep28kE/test/fluent/69.wav,P AH B L IH K S P IY K IH NG S IH CH UW EY SH AH N Z
/sep28kE/test/fluent/70.wav,F OW K AH S AA N DH AH AH DH ER P IY P AH L
/sep28kE/test/fluent/72.wav,AY W AA Z IH K S P AE N D IH NG AO L AH V M AY EH N ER JH IY
/sep28kE/test/fluent/73.wav,OW P AH N K AA N V ER S EY SH AH N AO R K L AE S P R EH Z AH N T EY SH AH N EH N IY T AY M AY HH AE D T UW S T AE N D IH N F R AH N T AH V AH G R UW P AH V P IY P AH L
/sep28kE/test/fluent/74.wav,DH EY K AE N T EH L AH JH OW K
/sep28kE/test/fluent/75.wav,DH EY K AE N T EH L AH F AH N IY S T AO R IY AH N D HH AE V EH V R IY B AA D IY L AE F
/sep28kE/test/fluent/77.wav,DH AE T IH Z W AH T AY W AO N T IH D
/sep28kE/test/fluent/78.wav,AH CH AE L AH N JH IH NG T AY M
/sep28kE/test/fluent/79.wav,AH L AA T AH V TH IH NG Z CH EY N JH
/sep28kE/test/fluent/80.wav,S ER T AH N L IY AH P AA R T AH V M AY P ER S IH N AH L S T AO R IY
/sep28kE/test/fluent/81.wav,AY W UH D AO L W EY Z EH N D AH P
/sep28kE/test/fluent/84.wav,W EH N AY HH AE D T UW S EY S AH M TH IH NG AW T L AW D
/sep28kE/test/fluent/85.wav,AY EH M B R EY S IH T AY AE K S EH P T IH T
/sep28kE/test/fluent/86.wav,IH N F R AH N T AH V AH G R UW P AH V P IY P AH L
/sep28kE/test/fluent/87.wav,AH N D L AY F IH Z G OW IH NG T UW M UW V AA N
/sep28kE/test/fluent/88.wav,AY TH IH NG K IH T S EH N K ER IH JH IH NG
/sep28kE/test/fluent/89.wav,AH N D W AH N S AY D IH D DH AE T
/sep28kE/test/fluent/91.wav,AH N D DH AE T W AA Z AH W AH N D ER F AH L IH K S P IH R IY AH N S AA N DH AE T D EY
/sep28kE/test/fluent/92.wav,DH AE T W AA Z M AY G OW L AE Z W EH L
/sep28kE/test/fluent/93.wav,AH N D AY HH AE D T UW R IY M AY N D M AY S EH L F
/sep28kE/test/fluent/94.wav,AY R IH L IY D UW
/sep28kE/test/fluent/95.wav,JH AH S T M IY T IH NG HH IH M K AE ZH AH W AH L IY
/sep28kE/test/fluent/96.wav,IH M HH AE P IY IH M HH EH L TH IY
/sep28kE/test/fluent/97.wav,DH AH IH K S P IH R IY AH N S DH AE T SH IY
/sep28kE/test/fluent/98.wav,AY OW N L IY S ER AW N D IH D M AY S EH L F W IH DH P AA Z AH T IH V P IY P AH L
/sep28kE/test/fluent/100.wav,DH AE T IH Z W AH T AY D IH D
/sep28kE/test/fluent/101.wav,AY R IY AH L AY Z AY AE M N AA T P ER F EH K T
/sep28kE/test/fluent/102.wav,N OW B AA D IY IH Z P ER F EH K T
/sep28kE/test/fluent/105.wav,AO L DH OW Z IH M OW SH AH N Z
/sep28kE/test/fluent/106.wav,K AH M P EH R M AY S EH L F B IH K AO Z AY W AA Z IH N S AH K Y ER
/sep28kE/test/fluent/108.wav,T UW B IY S AH M B AA D IY EH L S
/sep28kE/test/fluent/109.wav,AH N D S OW AY W UH D AO L W EY Z
/sep28kE/test/fluent/110.wav,TH AE NG K Y UW S OW M AH CH
/sep28kE/test/fluent/111.wav,B IH K AO Z AY W AA Z D EH S P R IH T
/sep28kE/test/fluent/112.wav,AH N D AY S T AA R T IH D T UW T AO K
/sep28kE/test/fluent/114.wav,IH T IH Z AO L IH N P R AA G R EH S
/sep28kE/test/fluent/115.wav,DH AE T W IY S IY IH N DH AH D IH S AO R D ER
/sep28kE/test/fluent/116.wav,IH T S AO L S OW HH AY L IY HH EH R AH T AH B AH L S OW W ER G OW IH NG T UW B IY L UH K IH NG AE T T R AE N S M IH SH AH N P AE T ER N Z
/sep28kE/test/fluent/117.wav,B AH T W EH N AY K EY M T UW DH IH S K AH L CH ER
/sep28kE/test/fluent/118.wav,IH T S S AH M TH IH NG S OW B AE D
/sep28kE/test/fluent/119.wav,F AO R M AY HH OW L L AY F
