audio_path,label
/sep28kE/test/sep28k_phn/pro/1.wav,HH UW HH AE D M AO R S [PRO] AH V IH R
/sep28kE/test/sep28k_phn/pro/2.wav,AH N D S [PRO] OW D UH R IH NG DH AH K AO R S AH V DH AH Y IH R
/sep28kE/test/sep28k_phn/pro/4.wav,AY S [PRO] AW N D IH D L AY K AH R OW B AA T
/sep28kE/test/sep28k_phn/pro/5.wav,IH T M EY D M IY S [PRO] AW N D L AY K AH R OW B AA T
/sep28kE/test/sep28k_phn/pro/6.wav,S [PRO] OW AY JH AH S T HH AE D T UW P R AE K T AH S IH T
/sep28kE/test/sep28k_phn/pro/7.wav,JH AH S T W AA N T T UW S IH T AA N DH AH K AW CH IH N S [PRO] AY L AH N T S
/sep28kE/test/sep28k_phn/pro/8.wav,AO R S [PRO] IH R IY Z
/sep28kE/test/sep28k_phn/pro/9.wav,S P AH S IH F IH K S OW [PRO] SH AH L K AA N T EH K S T S
/sep28kE/test/sep28k_phn/pro/10.wav,W AH T S P AH [PRO] S IH F IH K P AA R T S
/sep28kE/test/sep28k_phn/pro/11.wav,AA R Y UW [PRO] G AY Z D UW
/sep28kE/test/sep28k_phn/pro/13.wav,IH N N UW Y AO R K S IH T IY B AY T EH R OW AE [PRO] L AH G Z AE N D ER
/sep28kE/test/sep28k_phn/pro/14.wav,D R [PRO] AH G AH L IH NG
/sep28kE/test/sep28k_phn/pro/15.wav,V EH R IY W EH L TH [PRO] AE NG K S AH P HH IH M
/sep28kE/test/sep28k_phn/pro/16.wav,IH T S DH AE R AH M AH N D IY [PRO] M AO R N IH NG HH IY R
/sep28kE/test/sep28k_phn/pro/18.wav,AE N Y UH R L [PRO] IH S AH N IH NG T UW DH AH P AO D K AE S T
/sep28kE/test/sep28k_phn/pro/19.wav,B AH T HH AE [PRO] V IH NG AE N AH N D ER S T EY N D IH NG AH V DH AE T
/sep28kE/test/sep28k_phn/pro/20.wav,M EY B IY [PRO] T UW Y IH R Z AH G OW AH Y UW AH N AH HH AE F AH G OW
/sep28kE/test/sep28k_phn/pro/21.wav,S OW AH M S OW B L EH R T UW HH AE [PRO] V Y UW HH IY R W IH DH AH S T AH D EY
/sep28kE/test/sep28k_phn/pro/22.wav, R IY F AH [PRO] L EH K T IH NG B AE K
/sep28kE/test/sep28k_phn/pro/23.wav,M EY K S M IY F IY L [PRO] AY T AH N D AY S T AE T ER D L AY K DH AE T
/sep28kE/test/sep28k_phn/pro/26.wav,N UH R OW S AY AH N S AH N D N UH R OW IH [PRO] M AH JH IH NG
/sep28kE/test/sep28k_phn/pro/27.wav,AH N D DH AE T IH Z HH Y UW [PRO] JH
/sep28kE/test/sep28k_phn/pro/28.wav,AH N D IH T S AH B Y UW T AH F AH L S [PRO] AE T ER D IY AE F T ER N UW N HH IY R
/sep28kE/test/sep28k_phn/pro/30.wav,F R AH [PRO] M S AW TH L AO S T R EY L Y AH
/sep28kE/test/sep28k_phn/pro/31.wav,HH UW ER N D HH ER M [PRO] AE S T ER Z D IH G R IY IH N S OW SH AH L W ER K F R AH M S AE N F R AH M S IH S K OW S T EY T IH N Y UW N AH V ER S AH T IY
/sep28kE/test/sep28k_phn/pro/32.wav,HH AE Z B IH N AH S [PRO] P IH R IY AH L IH K S P IH R IY AH N S
/sep28kE/test/sep28k_phn/pro/33.wav,HH UW IH Z AH S [PRO] OW SH AH L W ER K ER HH UW R AH N Z S P IY CH CH AE L AH N JH IH Z K AW N S AH L IH NG
/sep28kE/test/sep28k_phn/pro/35.wav,AH N D DH AE T AY N IY D T UW AE K S [PRO] EH P T IH T
/sep28kE/test/sep28k_phn/pro/36.wav,JH AH S T B IH K AH M Z AE K S [PRO] EH P T IH D AH V AH D IH F ER AH N T W EY AH V T AO K IH NG
/sep28kE/test/sep28k_phn/pro/40.wav,S [PRO] OW HH IY HH AE Z M IY DH AH S L IH S T AH V K AH M AE N D Z AH N D SH IY W EY T
/sep28kE/test/sep28k_phn/pro/41.wav,B IH K AO Z AY M EH T S [PRO] T OW M EH N IY W AH N D ER F AH L P IY P AH L AH N D AY T R AE V AH L D DH AH W ER L D
/sep28kE/test/sep28k_phn/pro/43.wav,W IH CH IH Z SH [PRO] AE L AH B R IY DH IH NG
/sep28kE/test/sep28k_phn/pro/45.wav,AH [PRO] N D AY L AY V IH N DH AH S EH N T R AH L
/sep28kE/test/sep28k_phn/rep/45.wav,AH N T R AY IH NG T UW M IY [PRO] T DH IH S N UW AE Z F AE S T AE Z W IY K AE N
/sep28kE/test/sep28k_phn/new_new/5.wav,EH V R IY W AH N HH AE Z DH EH R S [PRO] T R AH G AH L
/sep28kE/test/sep28k_phn/new_new/6.wav,S OW [PRO] M EH N IY T AY M Z DH EH R AH
/sep28kE/test/sep28k_phn/new_new/12.wav,K AE N Y UW SH EH R W IH DH AW ER L IH [PRO] S AH N ER Z
/sep28kE/test/sep28k_phn/new_new/17.wav,T AH D EY DH AE N DH AE N Y UW [PRO] N AO R M AH L IY HH AE V
/sep28kE/test/sep28k_phn/new_new/21.wav,HH IH Z M AA M AH N D D AE D AH N D L [PRO] T AH L B R AH DH ER
/sep28kE/test/sep28k_phn/new_new/22.wav,M OW S T IH [PRO] M IY D IY AH T S OW
