audio_path,label
../SEP28K_testset/phoneme_level/repetition/2.wav,AH N D Y UH R L IH S AH N IH NG T UW DH AH P AO [REP] D K AE S T
../SEP28K_testset/phoneme_level/repetition/3.wav,HH AE [REP] V IH NG EH N IY IH M P AE K T AA N DH IH S M IY CH P R AH T AH K SH AH N S IH S T AH M
../SEP28K_testset/phoneme_level/repetition/5.wav,S T AH [REP] T ER IH NG W IY D IH D F AY N
../SEP28K_testset/phoneme_level/repetition/6.wav,B AH T HH IY M AY T P OW [REP] S T DH AH L AE K TH
../SEP28K_testset/phoneme_level/repetition/7.wav,W IH [REP] DH IH N DH AH S P IY SH P R AH D AH K SH AH N Z
../SEP28K_testset/phoneme_level/repetition/8.wav,IH [REP] Z AH M EY Z IH NG
../SEP28K_testset/phoneme_level/repetition/9.wav,B AY L UH [REP] K IH NG HH AE T
../SEP28K_testset/phoneme_level/repetition/10.wav,F R IY L IY AH V EY L AH B AH L AE Z AH D AW N [REP] L OW D AA N IH T UW N Z
../SEP28K_testset/phoneme_level/repetition/11.wav,M AY N D IH N T R AH D UW S IH NG Y ER S EH L F T EH [REP] L IH NG AH S HH UW Y UW AA R
../SEP28K_testset/phoneme_level/repetition/12.wav,R IH L IY HH [REP] AE P IY T UW HH AE V Y UW
../SEP28K_testset/phoneme_level/repetition/13.wav,DH AH P AO D [REP] K AE S T K AE N B IY F AW N D
../SEP28K_testset/phoneme_level/repetition/14.wav,IH T W AA Z IH G Z [REP] AA S T IH NG
../SEP28K_testset/phoneme_level/repetition/16.wav,R UW M F AO R DH AH S T AH [REP] T ER IH NG
../SEP28K_testset/phoneme_level/repetition/18.wav,AH N D IH T S AO L S OW F R IY [REP] L IY AH V EY L AH B AH L AE Z AH D AW N L OW D AA N
../SEP28K_testset/phoneme_level/repetition/19.wav,AH B IH T M AO R AH D IH [REP] P AH K AH L T
../SEP28K_testset/phoneme_level/repetition/20.wav,DH AH S T AH T ER IH NG W AA Z AH N T DH AH W EY DH AE T AY W [REP] AO N T IH D IH T
../SEP28K_testset/phoneme_level/repetition/21.wav,AY S ER T AH N L IY K AE N AH N [REP] D ER S T AE N D
../SEP28K_testset/phoneme_level/repetition/22.wav,M OW S T AH DH ER Y UW [REP] N AH V ER S AH T IY Z
../SEP28K_testset/phoneme_level/repetition/23.wav,AH N D IH T S AO L S OW F R IY L IY D AW N [REP] L OW D AH B AH L AA N IH T UW N Z
../SEP28K_testset/phoneme_level/repetition/24.wav,M EY K R UW M F AO R DH AH S T AH [REP] T ER IH NG
../SEP28K_testset/phoneme_level/repetition/25.wav,HH IH Z G OW IH NG T UW SH EH R P AA R T S [REP] AH V HH IH Z S T AO R IY Z
../SEP28K_testset/phoneme_level/repetition/26.wav,DH AE T AY W UH D W AA N T HH ER T UW B IY L AH [REP] D HH IH S IH N IH NG F AO R
../SEP28K_testset/phoneme_level/repetition/28.wav,AH N D DH AH EH P AH S OW D Z AA R F R IY [REP] L IY AH V EY L AH B AH L
../SEP28K_testset/phoneme_level/repetition/29.wav,AH [REP] F AE K T M AY
../SEP28K_testset/phoneme_level/repetition/30.wav,AE N AH M EY Z IH NG G AY DH AE T S G AH N T UW SH EH R P AA R T S [REP] AH V HH IH Z S T AO R IY
../SEP28K_testset/phoneme_level/repetition/32.wav,K UH D Y UW F AO R M [REP] AH L IY IH N T R AH D UW S Y ER S EH L T UW AH S
../SEP28K_testset/phoneme_level/repetition/33.wav,S OW AY M R IH L IY IH K S AY T AH D T UW G EH [REP] T T UW N OW HH IH M AH L IH T AH L B IH T
../SEP28K_testset/phoneme_level/repetition/34.wav,JH AH S [REP] AH L IH T AH L W AY L AH G OW K EY M B AE K IH N F R AH M
../SEP28K_testset/phoneme_level/repetition/36.wav,T AO K W IH DH Y EH N AH DH ER P ER [REP] S AH N HH UW
../SEP28K_testset/phoneme_level/repetition/37.wav,T EH L AH S HH UW [REP] Y UW W ER
../SEP28K_testset/phoneme_level/repetition/38.wav,TH AE NG K S [REP] S OW M AH CH F AO R JH OY N IH N M IY
../SEP28K_testset/phoneme_level/repetition/39.wav,EH N JH OY IH NG AH N AY S S AH N IY P IY [REP] S F AH L D EY S OW F AA R AA N AH W IH K EH N D
../SEP28K_testset/phoneme_level/repetition/41.wav,Y UW N OW W EH [REP] N EH V ER Y UW F IH L L AY K DH AE T Y UW AA R G EH N T IH NG M EY T T UW S T AH D ER JH AH S T S IH M P L IY S T AA P T EY AH D IY P B R EH TH
../SEP28K_testset/phoneme_level/repetition/48.wav,W IH CH K AE N B IY F AW N D AA N DH AH B L AA G M EY K R UW M F AO R DH AH S T AH [REP] T ER IH NG
../SEP28K_testset/phoneme_level/repetition/49.wav,AH N D DH AE N IH T R AE [REP] P AH D L IY R AE M P T AH P
../SEP28K_testset/phoneme_level/repetition/50.wav,AH N D EH [REP] V ER IY D EY IH T IH Z
../SEP28K_testset/phoneme_level/prolongation/25.wav,S AH [REP] M W AH N T R AY IH NG T UW AH B AH L IY Z M AY S P IY CH
../SEP28K_testset/phoneme_level/prolongation/39.wav,AY M G OW N T UW B IY R IY S P IH [REP] K F AH L
../SEP28K_testset/phoneme_level/more/2.wav,P IY P AH L D AE [REP] S T AH D ER W IY N OW
../SEP28K_testset/phoneme_level/more/3.wav,M AY B AY F R EH N D K OW [REP] T IY 
../SEP28K_testset/phoneme_level/more/4.wav,K AY N D AH V B IH NG L AY K M AO R HH Y UW M [REP] AH N Y UW N OW L AY K
../SEP28K_testset/phoneme_level/more/7.wav,K R AH N T L AY D EY [REP] T AH D EY
../SEP28K_testset/phoneme_level/more/8.wav,AA N IH N S T AH G R AE M L AY K AO L HH AE SH [REP] T AE G
../SEP28K_testset/phoneme_level/more/9.wav,S AH M W AH N DH AE T W ER R IH L IY L IH S [REP] IH N W IH TH AW T
../SEP28K_testset/phoneme_level/more/10.wav,W IH TH AW T JH AH [REP] JH M AH N T 
../SEP28K_testset/phoneme_level/more/18.wav,T UW AH T [REP] EH N D DH AH K AA N
../SEP28K_testset/phoneme_level/more/19.wav,DH EY AE ZH AH L IY G EY V M IY AH P AA R T AH L S K AA [REP] L ER SH IH P
../SEP28K_testset/phoneme_level/more/20.wav,S OW SH IY W AA Z R IH [REP] L IY IH K S AY T IH D
../SEP28K_testset/phoneme_level/more/24.wav,S M AO L N IH SH AH V DH AH S T AH D [REP] ER IH NG DH EH R
../SEP28K_testset/phoneme_level/prolongation/1.wav,HH UW HH AE D M AO R S [PRO] AH V IH R
../SEP28K_testset/phoneme_level/prolongation/2.wav,AH N D S [PRO] OW D UH R IH NG DH AH K AO R S AH V DH AH Y IH R
../SEP28K_testset/phoneme_level/prolongation/4.wav,AY S [PRO] AW N D IH D L AY K AH R OW B AA T
../SEP28K_testset/phoneme_level/prolongation/5.wav,IH T M EY D M IY S [PRO] AW N D L AY K AH R OW B AA T
../SEP28K_testset/phoneme_level/prolongation/6.wav,S [PRO] OW AY JH AH S T HH AE D T UW P R AE K T AH S IH T
../SEP28K_testset/phoneme_level/prolongation/7.wav,JH AH S T W AA N T T UW S IH T AA N DH AH K AW CH IH N S [PRO] AY L AH N T S
../SEP28K_testset/phoneme_level/prolongation/8.wav,AO R S [PRO] IH R IY Z
